gis_cleared_amount,gis_requests_qty,gis_requests_amount,gis_cleared_qty,gis_item_desc,gis_item_code,total_cleared_item,total_requests_item,value,unit_price,quantity,uom,branch,item_desc,item_id,element_desc,element_id,item_seq,total_cleared,total_requests,date_field,status,item_type,project_name,project_id,source_file,gis_qty,gis_item_name,gis_value,gis_unit_price,request_qty,request_amount,cleared_qty,cleared_amount,total_requests_num,total_cleared_num,total_requests_item_num,total_cleared_item_num,quantity_num,unit_price_num,value_num,gis_qty_num,gis_unit_price_num,gis_value_num,request_qty_num,request_amount_num,cleared_qty_num,cleared_amount_num,_alloc,_used
,,"24,905",1,مصنعية بناء ولياسة وحدادة وصب السق,"12ERP015 218,820",,"24,905",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,204672,,"24,905",22/04/2024,مقفل نهائي,VIP,,208060015050,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,24905.0,,24905.0,,1.0,0.0,0.0,,,,,,,,,
"32,010",66,"33,950",70,بلك,1101139,"32,010","44,950",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,189903,"100,915","88,950",30/04/2024,مقفل نهائي,VIP,,208060015075,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,88950.0,100915.0,44950.0,32010.0,1.0,0.0,0.0,,,,,,,,,
"68,905",1,"44,000",1,مصنعية بناء ولياسة وحدادة وصب السق,12ERP015,"68,905","44,000",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,204522,,,,,,,,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,,,44000.0,68905.0,1.0,0.0,0.0,,,,,,,,,
"2,200",1,"2,200",1,حديد ابو 8ملم,1101103,"217,729","223,750","206,567",206567,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,177807,"217,729","223,750",07/05/2024,جاري الاقفال,تراسل محطات  WFBB,,208060015096,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,223750.0,217729.0,223750.0,217729.0,1.0,206567.0,206567.0,,,,,,,,,
"2,200",1,"2,200",1,حديد ابو 8ملم,1101103,"161,522","202,400",0,0,1,عدد,ادارة فرع الحديدة,هندهول دكت فرعي,1014,هندهول دكت فرعي مربع,5,209610,"161,522","202,400",07/05/2024,مقفل نهائي,YOU,,208060015110,الهندهولات_والاخلاء_1779041552449.HTM,,,,,,,,,202400.0,161522.0,202400.0,161522.0,1.0,0.0,0.0,,,,,,,,,
,,,,,,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,165825,,"378,923.38",03/11/2023,مقفل نهائي,صيانة شبكة هاتف ثابت,نقل الشبكة (النحاسية + الالياف) وجميع التجهيزات الفنية من المبنيين القديمة المدمرة الى المبنى الفني الجديد_الحديدة,201010010235,هندهولات4_1779041552498.HTM,"9,160",,,,,,,,378923.38,,,,,,,9160.0,,,,,,,,
,,,,,1101105,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,165825,,"378,923.38",03/11/2023,مقفل نهائي,صيانة شبكة هاتف ثابت,نقل الشبكة (النحاسية + الالياف) وجميع التجهيزات الفنية من المبنيين القديمة المدمرة الى المبنى الفني الجديد_الحديدة,201010010235,هندهولات4_1779041552498.HTM,1,حديد ابو 12ملم,"4,991",,,,,,378923.38,,,,,,,1.0,,4991.0,,,,,,
,,,,,1101106,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,165825,,"378,923.38",03/11/2023,مقفل نهائي,صيانة شبكة هاتف ثابت,نقل الشبكة (النحاسية + الالياف) وجميع التجهيزات الفنية من المبنيين القديمة المدمرة الى المبنى الفني الجديد_الحديدة,201010010235,هندهولات4_1779041552498.HTM,9,حديد ابو 14ملم,"59,670",,,,,,378923.38,,,,,,,9.0,,59670.0,,,,,,
,,,,,1101114,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,165825,,"378,923.38",03/11/2023,مقفل نهائي,صيانة شبكة هاتف ثابت,نقل الشبكة (النحاسية + الالياف) وجميع التجهيزات الفنية من المبنيين القديمة المدمرة الى المبنى الفني الجديد_الحديدة,201010010235,هندهولات4_1779041552498.HTM,15,اسمنت,"59,805",,,,,,378923.38,,,,,,,15.0,,59805.0,,,,,,
,,,,,1101116,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,165825,,"378,923.38",03/11/2023,مقفل نهائي,صيانة شبكة هاتف ثابت,نقل الشبكة (النحاسية + الالياف) وجميع التجهيزات الفنية من المبنيين القديمة المدمرة الى المبنى الفني الجديد_الحديدة,201010010235,هندهولات4_1779041552498.HTM,4.54,كري,"73,647.88",,,,,,378923.38,,,,,,,4.54,,73647.88,,,,,,
